team,tick,workers,warriors,explorers,food_critical,need_food,swarms,inns
2,31232,22,19,2,18,5,1,0
3,31232,1,1,0,2,0,0,0
4,31232,55,25,2,6,0,1,3
5,31232,48,52,6,11,3,1,4
6,31232,45,38,3,5,4,1,5
7,31232,49,40,4,16,3,1,3
8,31232,72,33,11,14,4,1,4
9,31232,56,38,5,14,6,1,3
10,31232,80,24,9,12,8,2,4
11,31232,64,42,5,6,2,1,5
0,31744,70,46,8,13,4,2,3
1,31744,57,28,3,8,3,1,5
2,31744,23,20,2,25,2,1,0
3,31744,0,0,0,0,0,0,0
4,31744,57,24,1,7,0,1,3
5,31744,49,53,5,13,2,1,4
6,31744,48,41,3,4,7,1,5
7,31744,45,38,5,14,1,1,3
8,31744,72,33,12,10,4,1,4
9,31744,56,37,5,13,7,1,3
10,31744,81,24,8,6,8,2,4
11,31744,67,45,5,9,8,1,5
0,32256,72,46,9,12,7,2,3
1,32256,57,25,3,7,1,1,5
2,32256,23,19,2,23,1,1,0
3,32256,0,0,0,0,0,0,0
4,32256,57,25,1,7,1,1,3
5,32256,50,54,4,17,1,1,4
6,32256,49,43,3,7,4,1,6
7,32256,46,37,4,11,1,1,3
8,32256,73,35,8,9,7,1,4
9,32256,57,37,6,14,5,1,3
10,32256,83,26,7,5,7,2,4
11,32256,68,46,4,8,6,1,5
